dep_code,code_postal,dep_nom,nom_standard
01,1400,Ain,L'Abergement-Clémenciat
01,1640,Ain,L'Abergement-de-Varey
01,1500,Ain,Ambérieu-en-Bugey
01,1330,Ain,Ambérieux-en-Dombes
01,1300,Ain,Ambléon
01,1500,Ain,Ambronay
01,1500,Ain,Ambutrix
01,1300,Ain,Andert-et-Condon
01,1350,Ain,Anglefort
01,1100,Ain,Apremont
01,1110,Ain,Aranc
01,1230,Ain,Arandas
01,1100,Ain,Arbent
01,1300,Ain,Arboys en Bugey
01,1190,Ain,Arbigny
01,1230,Ain,Argis
01,1510,Ain,Armix
01,1480,Ain,Ars-sur-Formans
01,1510,Ain,Artemare
01,1570,Ain,Asnières-sur-Saône
01,1340,Ain,Attignat
01,1380,Ain,Bâgé-Dommartin
01,1380,Ain,Bâgé-le-Châtel
01,1360,Ain,Balan
01,1990,Ain,Baneins
01,1270,Ain,Beaupont
01,1480,Ain,Beauregard
01,1100,Ain,Bellignat
01,1360,Ain,Béligneux
01,1200,Ain,Valserhône
01,1300,Ain,Belley
01,1130,Ain,Belleydoux
01,1260,Ain,Valromey-sur-Séran
01,1470,Ain,Bénonces
01,1370,Ain,Bény
01,1340,Ain,Béréziat
01,1500,Ain,Bettant
01,1290,Ain,Bey
01,1700,Ain,Beynost
01,1200,Ain,Billiat
01,1330,Ain,Birieux
01,1290,Ain,Biziat
01,1150,Ain,Blyes
01,1120,Ain,La Boisse
01,1380,Ain,Boissey
01,1450,Ain,Bolozon
01,1330,Ain,Bouligneux
01,1000,Ain,Bourg-en-Bresse
01,1800,Ain,Bourg-Saint-Christophe
01,1640,Ain,Boyeux-Saint-Jérôme
01,1190,Ain,Boz
01,1300,Ain,Brégnier-Cordon
01,1110,Ain,Brénod
01,1300,Ain,Brens
01,1360,Ain,Bressolles
01,1460,Ain,Brion
01,1470,Ain,Briord
01,1310,Ain,Buellas
01,1510,Ain,La Burbanche
01,1430,Ain,Ceignes
01,1450,Ain,Cerdon
01,1240,Ain,Certines
01,1170,Ain,Cessy
01,1250,Ain,Ceyzériat
01,1350,Ain,Ceyzérieu
01,1320,Ain,Chalamont
01,1480,Ain,Chaleins
01,1230,Ain,Chaley
01,1450,Ain,Challes-la-Montagne
01,1630,Ain,Challex
01,1260,Ain,Champagne-en-Valromey
01,1110,Ain,Champdor-Corcelles
01,1410,Ain,Champfromier
01,1420,Ain,Chanay
01,1990,Ain,Chaneins
01,1400,Ain,Chanoz-Châtenay
01,1240,Ain,La Chapelle-du-Châtelard
01,1130,Ain,Charix
01,1800,Ain,Charnoz-sur-Ain
01,1500,Ain,Château-Gaillard
01,1320,Ain,Châtenay
01,1320,Ain,Châtillon-la-Palud
01,1400,Ain,Châtillon-sur-Chalaronne
01,1190,Ain,Chavannes-sur-Reyssouze
01,1250,Ain,Nivigne et Suran
01,1660,Ain,Chaveyriat
01,1300,Ain,Chazey-Bons
01,1150,Ain,Chazey-sur-Ain
01,1510,Ain,Cheignieu-la-Balme
01,1430,Ain,Chevillard
01,1190,Ain,Chevroux
01,1170,Ain,Chevry
01,1410,Ain,Chézery-Forens
01,1390,Ain,Civrieux
01,1250,Ain,Cize
01,1230,Ain,Cleyzieu
01,1270,Ain,Coligny
01,1550,Ain,Collonges
01,1300,Ain,Colomieu
01,1230,Ain,Conand
01,1430,Ain,Condamine
01,1400,Ain,Condeissiat
01,1200,Ain,Confort
01,1310,Ain,Confrançon
01,1300,Ain,Contrevoz
01,1300,Ain,Conzieu
01,1420,Ain,Corbonod
01,1110,Ain,Corlier
01,1290,Ain,Cormoranche-sur-Saône
01,1560,Ain,Cormoz
01,1250,Ain,Corveissiat
01,1370,Ain,Courmangoux
01,1560,Ain,Courtes
01,1320,Ain,Crans
01,1340,Ain,Bresse Vallons
01,1350,Ain,Cressin-Rochefort
01,1290,Ain,Crottet
01,1170,Ain,Crozet
01,1290,Ain,Cruzilles-lès-Mépillat
01,1350,Ain,Culoz-Béon
01,1560,Ain,Curciat-Dongalon
01,1310,Ain,Curtafond
01,1300,Ain,Cuzieu
01,1120,Ain,Dagneux
01,1220,Ain,Divonne-les-Bains
01,1240,Ain,Dompierre-sur-Veyle
01,1400,Ain,Dompierre-sur-Chalaronne
01,1270,Ain,Domsure
01,1590,Ain,Dortan
01,1500,Ain,Douvres
01,1250,Ain,Drom
01,1160,Ain,Druillat
01,1130,Ain,Échallon
01,1170,Ain,Échenevex
01,1230,Ain,Évosges
01,1800,Ain,Faramans
01,1480,Ain,Fareins
01,1550,Ain,Farges
01,1570,Ain,Feillens
01,1210,Ain,Ferney-Voltaire
01,1350,Ain,Flaxieu
01,1340,Ain,Foissiat
01,1090,Ain,Francheleins
01,1480,Ain,Frans
01,1140,Ain,Garnerans
01,1090,Ain,Genouilleux
01,1460,Ain,Béard-Géovreissiat
01,1100,Ain,Géovreisset
01,1170,Ain,Gex
01,1130,Ain,Giron
01,1190,Ain,Gorrevod
01,1250,Ain,Grand-Corent
01,1290,Ain,Grièges
01,1220,Ain,Grilly
01,1100,Ain,Groissiat
01,1090,Ain,Guéreins
01,1250,Ain,Hautecourt-Romanèche
01,1110,Ain,Plateau d'Hauteville
01,1260,Ain,Haut Valromey
01,1140,Ain,Illiat
01,1200,Ain,Injoux-Génissiat
01,1680,Ain,Innimond
01,1430,Ain,Izenave
01,1580,Ain,Izernore
01,1300,Ain,Izieu
01,1480,Ain,Jassans-Riottier
01,1250,Ain,Jasseron
01,1340,Ain,Jayat
01,1250,Ain,Journans
01,1800,Ain,Joyeux
01,1640,Ain,Jujurieux
01,1450,Ain,Labalme
01,1150,Ain,Lagnieu
01,1290,Ain,Laiz
01,1130,Ain,Le Poizat-Lalleyriat
01,1430,Ain,Lantenay
01,1330,Ain,Lapeyrouse
01,1350,Ain,Lavours
01,1200,Ain,Léaz
01,1410,Ain,Lélex
01,1240,Ain,Lent
01,1560,Ain,Lescheroux
01,1150,Ain,Leyment
01,1450,Ain,Leyssard
01,1420,Ain,Surjoux-Lhopital
01,1680,Ain,Lhuis
01,1680,Ain,Lompnas
01,1360,Ain,Loyettes
01,1090,Ain,Lurcy
01,1300,Ain,Magnieu
01,1430,Ain,Maillat
01,1340,Ain,Malafretaz
01,1560,Ain,Mantenay-Montlin
01,1570,Ain,Manziat
01,1851,Ain,Marboz
01,1680,Ain,Marchamp
01,1300,Ain,Marignieu
01,1240,Ain,Marlieux
01,1340,Ain,Marsonnas
01,1100,Ain,Martignat
01,1600,Ain,Massieux
